,player_name,team_name,primary_position,player_season_90s_played,player_season_obv_90,player_season_obv_pass_90,player_season_obv_shot_90,player_season_obv_defensive_action_90,player_season_obv_dribble_carry_90,player_season_obv_gk_90,player_season_np_xg_90
40,Thembinkosi Lorch,Mamelodi Sundowns FC,Right Centre Forward,7.5348153,0.24867341,0.14808407,0.10703793,-0.005072147,-0.0013765303,,0.16482368
41,Wayde  Jooste,AmaZulu FC,Right Wing Back,19.06222,0.2954535,0.19634137,-0.02003039,0.040660325,0.07848218,,0.013845183
42,Thabiso James Monyane,Orlando Pirates FC,Right Back,15.3551855,0.16250028,0.11326032,-0.053269226,0.02896097,0.07354821,,0.10309606
43,Siyabonga Mpontshane,Orlando Pirates FC,Goalkeeper,0.4438889,-1.6377667,0.07021491,,,0.06269343,-1.7706751,0.0
44,Thabang Amod Monare,Orlando Pirates FC,Right Defensive Midfielder,9.648519,0.11455335,0.026994195,-0.014880237,0.014210788,0.08822859,,0.056545094
45,Miguel Raoul Timm,Orlando Pirates FC,Left Defensive Midfielder,16.545557,0.13300423,0.06363882,-0.0049755503,0.023550704,0.050790273,,0.0049510356
46,Celimpilo Ngema,AmaZulu FC,Left Defensive Midfielder,18.575556,0.13435674,-0.010721073,0.03413796,0.0031446565,0.107795164,,0.066890195
47,Nicholus Lukhubeni,Cape Town Spurs,Right Back,7.6129627,0.19748466,0.11855095,-0.0077969977,0.04703192,0.039698776,,0.0012091327
48,Washington Arubi,SuperSport United FC,Goalkeeper,6.1929626,-0.52941924,0.18758948,,-0.0007538837,0.023095425,-0.7393503,0.0
49,Lebohang Mabotja,Sekhukhune United,Left Back,8.688704,0.2878445,0.16833933,,0.093729176,0.025775973,,0.0
50,Ndabayithethwa Ndlondlo,Orlando Pirates FC,Left Defensive Midfielder,13.836667,0.05530991,0.009437833,-0.044597372,0.0059817503,0.0844877,,0.05556641
51,Brandon Junior Theron,Lamontville Golden Arrows FC,Right Back,16.328333,0.28381592,0.16511412,0.0019371801,0.053728428,0.06303623,,0.00395103
52,Spiwe Given Msimango,Kaizer Chiefs FC,Right Centre Back,24.864626,0.06066665,0.030572597,-0.06808365,0.07309116,0.025086535,,0.049868856
53,Tshegofatso Nyama,Cape Town City FC,Left Wing Back,7.353148,0.033890836,0.043338608,-0.06283446,-0.026270678,0.07965736,,0.073091924
54,Lindokuhle John Mbatha,TS Galaxy FC,Left Wing,13.086483,0.04448309,-0.015739866,-0.04348618,0.007008284,0.09670088,,0.087951005
55,Mlungisi Mbunjana,TS Galaxy FC,Left Defensive Midfielder,19.33074,0.08824096,0.038248047,-0.03806244,0.021050535,0.06700479,,0.042391762
56,Sihle Nduli,Stellenbosch FC,Right Defensive Midfielder,18.98074,0.06703278,0.024060696,-0.016315285,0.046276078,0.013011274,,0.016322058
57,Mokete Mogaila,Royal AM FC,Right Back,16.037407,0.15458332,0.08687175,-0.021316066,0.033190303,0.05583734,,0.019770829
58,Sanele Barns,Richards Bay FC,Right Midfielder,29.258333,0.25473303,0.14510323,0.04601479,0.017604418,0.046010576,,0.11764325
59,Mxolisi Macuphu,Royal AM FC,Centre Forward,11.594258,-0.048927043,-0.13706286,0.08205856,-0.0007034331,0.0067806602,,0.21008222
60,Bathusi Jurry Aubaas,Mamelodi Sundowns FC,Right Centre Back,8.062778,0.0009873498,0.030278167,-0.032489233,-0.050094865,0.05329325,,0.031082539
61,Marks Munyai,TS Galaxy FC,Right Back,20.167036,0.15449195,0.14141332,-0.018430417,-0.010967319,0.042476363,,0.017888334
62,Veli Mothwa,AmaZulu FC,Goalkeeper,23.80778,0.16696607,0.09956913,,-0.006386865,0.066675946,0.00710786,0.0
63,Bienvenu Eva Nga,Chippa United FC,Centre Forward,9.019444,0.023311522,-0.0882603,-0.058802664,0.039188094,0.13118638,,0.2145135
64,Gregory Damons,Swallows FC,Right Wing,3.7003706,-0.041525513,-0.06849978,-0.04894901,-0.027862608,0.10378588,,0.07474907
65,Riaan Hanamub,AmaZulu FC,Left Wing Back,29.095001,0.2533315,0.20331995,-0.008943152,0.009124687,0.04982998,,0.027181266
66,Maloisane Mokhele,Sekhukhune United,Centre Attacking Midfielder,4.6662955,0.12625273,-0.0077636503,0.008466506,0.010355385,0.115194485,,0.37349707
67,Augustine Chidi Kwem,AmaZulu FC,Left Centre Forward,10.631666,-0.04279871,-0.0144826295,-0.13251434,0.10257466,0.0016236472,,0.5464006
68,Daniel Akpeyi,Swallows FC,Goalkeeper,28.400185,0.07907292,0.07024841,,0.0013359371,0.07148459,-0.063995995,0.0
69,Bernard Parker,TS Galaxy FC,Left Defensive Midfielder,8.392777,0.1306003,0.08739443,-0.035180114,-0.0048489324,0.08323492,,0.12075026
70,Ramahlwe Mphahlele,AmaZulu FC,Right Centre Back,25.35963,0.18312252,0.085386276,0.010977089,0.028296648,0.058462515,,0.023609415
71,Reeve Frosler,Kaizer Chiefs FC,Right Back,18.099813,0.27714103,0.17139402,-0.010402011,0.04367608,0.07247292,,0.008572777
72,Nkosingiphile Nhlakanipho Ngcobo,Kaizer Chiefs FC,Centre Attacking Midfielder,7.4366665,0.037344523,0.0033695726,-0.011459174,0.00929467,0.036139444,,0.05009464
73,Daniel Cardoso,Sekhukhune United,Left Centre Back,25.87852,0.09635766,0.047790296,-0.022730153,0.042602118,0.028695418,,0.04150442
74,Happy Mashiane,Kaizer Chiefs FC,Left Back,1.6587036,0.1952011,0.1580757,,0.01998593,0.017139453,,0.0
75,Itumeleng Khune,Kaizer Chiefs FC,Goalkeeper,4.3598146,-0.12757273,0.060917117,,,0.07675377,-0.26524362,0.0
76,Keletso Sifama,Sekhukhune United,Left Wing,1.6557407,-0.2006915,-0.1731169,0.007999489,-0.005488449,-0.030085642,,0.10350114
77,Bruce Bvuma,Kaizer Chiefs FC,Goalkeeper,18.506113,-0.045012854,0.07461142,,0.0003990856,0.051353537,-0.17137694,0.0
